DriverNumber,Abbreviation,FullName,TeamName,Season,RoundNumber,EventName,SessionName,SessionType,EventDate
22,TSU,Yuki Tsunoda,AlphaTauri,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
23,ALB,Alexander Albon,Williams,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
24,ZHO,Guanyu Zhou,Alfa Romeo,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
27,HUL,Nico Hulkenberg,Aston Martin,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
31,OCO,Esteban Ocon,Alpine,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
44,HAM,Lewis Hamilton,Mercedes,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
47,MSC,Mick Schumacher,Haas F1 Team,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
55,SAI,Carlos Sainz,Ferrari,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
63,RUS,George Russell,Mercedes,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
77,BOT,Valtteri Bottas,Alfa Romeo,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
